"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","03-Apr-2020","         89.35","         90.00","         91.20","         86.35","         86.88","         86.59","         87.42","    4260702","           372474545.36","      25520","    2597011","         60.95"
"NIFTYBEES","EQ","07-Apr-2020","         86.59","         90.00","         92.80","         88.25","         92.60","         92.41","         91.23","    4840152","           441585189.84","      22319","    2400299","         49.59"
"NIFTYBEES","EQ","08-Apr-2020","         92.41","         91.00","         98.00","         90.65","         92.81","         92.82","         93.79","    5210576","           488685706.66","      21291","    2288298","         43.92"
"NIFTYBEES","EQ","09-Apr-2020","         92.82","         93.95","         96.50","         93.40","         96.10","         96.23","         95.47","    4706456","           449306435.18","      17514","    2829341","         60.12"
"NIFTYBEES","EQ","13-Apr-2020","         96.23","         96.95","         96.95","         94.08","         95.75","         95.62","         95.20","    2175310","           207084533.43","      17280","     669430","         30.77"
"NIFTYBEES","EQ","15-Apr-2020","         95.62","         97.00","         97.90","         94.55","         95.20","         95.20","         96.66","    2756785","           266461815.24","      18184","     955024","         34.64"
"NIFTYBEES","EQ","16-Apr-2020","         95.20","         96.00","         96.00","         94.00","         95.83","         95.68","         95.31","    1777655","           169426648.99","      11541","     515650","         29.01"
"NIFTYBEES","EQ","17-Apr-2020","         95.68","         98.00","         98.70","         96.40","         98.59","         98.21","         97.67","    2622443","           256140772.09","      15411","     845554","         32.24"
"NIFTYBEES","EQ","20-Apr-2020","         98.21","        100.10","        100.96","         97.80","         98.10","         97.99","         98.24","    2279271","           223908293.17","      15038","    1080798","         47.42"
"NIFTYBEES","EQ","21-Apr-2020","         97.99","         91.10","        105.99","         91.10","         95.65","         95.60","         95.35","    2146306","           204647060.64","      14829","    1236100","         57.59"
"NIFTYBEES","EQ","22-Apr-2020","         95.60","        102.00","        102.00","         94.05","         97.49","         97.38","         96.23","    1728534","           166342050.01","      10914","     613475","         35.49"
"NIFTYBEES","EQ","23-Apr-2020","         97.38","         96.28","         98.85","         96.28","         98.48","         98.62","         98.26","    1573782","           154638004.88","       9470","     714291","         45.39"
"NIFTYBEES","EQ","24-Apr-2020","         98.62","         97.10","         98.14","         96.10","         97.10","         97.10","         97.12","    6117467","           594140420.65","      11403","    4909291","         80.25"
"NIFTYBEES","EQ","27-Apr-2020","         97.10","         97.15","         99.05","         97.10","         98.50","         98.43","         98.64","    2031699","           200414149.24","       9897","    1143923","         56.30"
"NIFTYBEES","EQ","28-Apr-2020","         98.43","        100.10","        100.10","         98.30","         99.44","         99.35","         98.93","    1050246","           103898423.51","       8182","     406597","         38.71"
"NIFTYBEES","EQ","29-Apr-2020","         99.35","        100.00","        101.70","         99.40","        101.10","        101.12","        100.50","    2746729","           276038292.65","      14138","    1694606","         61.70"
"NIFTYBEES","EQ","30-Apr-2020","        101.12","        102.00","        104.69","        101.61","        104.50","        104.18","        103.81","    3783690","           392803296.26","      15208","    2058097","         54.39"
"NIFTYBEES","EQ","04-May-2020","        104.18","        104.18","        104.21","         98.12","         98.90","         98.80","         99.61","    4249161","           423270102.86","      24374","    2147782","         50.55"
"NIFTYBEES","EQ","05-May-2020","         98.80","         95.80","        102.50","         92.90","         97.66","         97.65","         98.73","    2950667","           291331579.75","      14196","    1572395","         53.29"
"NIFTYBEES","EQ","06-May-2020","         97.65","         98.50","         99.00","         96.76","         98.70","         98.50","         98.36","    1654593","           162741963.84","      10615","     662711","         40.05"
"NIFTYBEES","EQ","07-May-2020","         98.50","         98.05","         99.00","         97.10","         97.70","         97.60","         97.70","    1921875","           187776216.34","       9761","    1019026","         53.02"
