"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUROPHARMA","EQ","07-Apr-2020","        382.40","        400.00","        455.35","        393.45","        448.00","        445.70","        423.40","   10290834","          4357175263.80","     147128","    1601858","         15.57"
"AUROPHARMA","EQ","08-Apr-2020","        445.70","        432.50","        476.30","        426.30","        438.90","        438.15","        449.38","   13186213","          5925576014.90","     205238","    1502190","         11.39"
"AUROPHARMA","EQ","09-Apr-2020","        438.15","        455.00","        475.95","        446.00","        461.90","        460.20","        461.88","   10726722","          4954451351.05","     161809","    1971329","         18.38"
"AUROPHARMA","EQ","13-Apr-2020","        460.20","        466.00","        529.05","        463.50","        507.25","        503.20","        493.30","   13848180","          6831370789.45","     205368","    1179177","          8.52"
"AUROPHARMA","EQ","15-Apr-2020","        503.20","        522.00","        537.50","        496.75","        519.45","        514.70","        522.06","   12644934","          6601364230.80","     216438","    1397882","         11.05"
"AUROPHARMA","EQ","16-Apr-2020","        514.70","        518.50","        549.00","        511.00","        548.50","        544.65","        533.77","    9906385","          5287731536.10","     166039","    1063806","         10.74"
"AUROPHARMA","EQ","17-Apr-2020","        544.65","        560.00","        568.15","        531.60","        543.80","        542.70","        545.02","    8110232","          4420202307.85","     122244","     950419","         11.72"
"AUROPHARMA","EQ","20-Apr-2020","        542.70","        544.25","        553.50","        526.75","        542.40","        540.95","        539.08","    7893459","          4255221874.30","      92085","    1181844","         14.97"
"AUROPHARMA","EQ","21-Apr-2020","        540.95","        531.00","        649.10","        525.50","        649.10","        644.40","        621.73","   37163180","         23105388234.60","     521791","    3430980","          9.23"
"AUROPHARMA","EQ","22-Apr-2020","        644.40","        650.00","        684.05","        631.25","        641.90","        642.25","        657.91","   31134209","         20483600646.85","     472514","    2024059","          6.50"
"AUROPHARMA","EQ","23-Apr-2020","        642.25","        645.35","        664.45","        623.70","        629.05","        629.05","        641.92","   14403671","          9246005487.00","     227112","    1945302","         13.51"
"AUROPHARMA","EQ","24-Apr-2020","        629.05","        629.05","        654.50","        618.50","        627.50","        624.45","        635.99","   12438408","          7910644503.25","     222905","    1958372","         15.74"
"AUROPHARMA","EQ","27-Apr-2020","        624.45","        630.00","        642.95","        622.00","        631.00","        633.80","        633.23","    7395523","          4683043467.65","     119999","    1197905","         16.20"
"AUROPHARMA","EQ","28-Apr-2020","        633.80","        638.90","        642.95","        616.15","        619.40","        619.95","        623.65","    5778269","          3603609718.85","      97558","     914486","         15.83"
"AUROPHARMA","EQ","29-Apr-2020","        619.95","        622.40","        631.85","        612.80","        624.00","        625.35","        623.15","    5935761","          3698892858.55","      97514","     824315","         13.89"
"AUROPHARMA","EQ","30-Apr-2020","        625.35","        633.05","        641.00","        609.05","        625.80","        625.85","        622.96","    6391548","          3981679727.45","     101468","    1245119","         19.48"
"AUROPHARMA","EQ","04-May-2020","        625.85","        611.00","        681.60","        603.00","        653.60","        653.30","        652.74","   16904893","         11034578210.85","     293645","    1852426","         10.96"
"AUROPHARMA","EQ","05-May-2020","        653.30","        663.95","        668.45","        627.55","        635.00","        631.60","        650.35","    6453306","          4196900858.65","     111062","     714503","         11.07"
"AUROPHARMA","EQ","06-May-2020","        631.60","        633.70","        667.80","        626.55","        658.35","        661.85","        645.20","    9906148","          6391425846.10","     169067","    1548007","         15.63"
"AUROPHARMA","EQ","07-May-2020","        661.85","        657.95","        671.90","        646.00","        649.00","        648.55","        659.61","    6622327","          4368145801.10","     120410","     863434","         13.04"
"AUROPHARMA","EQ","08-May-2020","        648.55","        658.95","        664.40","        639.60","        652.50","        652.65","        653.02","    4931319","          3220237770.85","      83571","     636455","         12.91"
"AUROPHARMA","EQ","11-May-2020","        652.65","        651.00","        673.50","        647.25","        664.50","        664.50","        663.55","    6407293","          4251570865.20","     120236","     905006","         14.12"
"AUROPHARMA","EQ","12-May-2020","        664.50","        663.95","        695.00","        659.00","        690.55","        690.90","        679.38","   10921194","          7419678738.05","     181981","    1351943","         12.38"
"AUROPHARMA","EQ","13-May-2020","        690.90","        700.00","        701.00","        668.45","        676.00","        675.90","        678.92","    6084261","          4130717855.70","     110916","     705081","         11.59"
"AUROPHARMA","EQ","14-May-2020","        675.90","        675.00","        681.90","        655.35","        664.15","        665.60","        671.38","    6900202","          4632672630.85","     111374","     680261","          9.86"
