"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CANBK","EQ","03-Apr-2020","         90.20","         88.00","         88.90","         83.50","         84.30","         84.15","         85.48","    5510785","           471088963.20","      33792","     897948","         16.29"
"CANBK","EQ","07-Apr-2020","         84.15","         87.15","         88.00","         83.20","         86.50","         86.80","         86.05","    7387687","           635716932.50","      35915","     977037","         13.23"
"CANBK","EQ","08-Apr-2020","         86.80","         85.20","         92.75","         84.30","         87.05","         87.40","         88.56","    8434667","           746986479.00","      39656","     494872","          5.87"
"CANBK","EQ","09-Apr-2020","         87.40","         88.40","         93.00","         86.60","         91.30","         91.80","         89.85","   11219835","          1008150371.80","      47414","    1257622","         11.21"
"CANBK","EQ","13-Apr-2020","         91.80","         90.95","         91.30","         86.65","         88.00","         88.30","         88.39","    6855898","           605995378.00","      32635","     740583","         10.80"
"CANBK","EQ","15-Apr-2020","         88.30","         88.95","         92.00","         85.85","         86.90","         86.45","         89.51","   11008091","           985286755.95","      42670","    1432946","         13.02"
"CANBK","EQ","16-Apr-2020","         86.45","         87.00","         87.60","         84.80","         86.00","         85.85","         86.11","   11292993","           972391505.90","      39843","    2049288","         18.15"
"CANBK","EQ","17-Apr-2020","         85.85","         89.00","         90.15","         83.50","         86.95","         86.85","         86.27","   16638116","          1435426541.85","      64886","    2584722","         15.53"
"CANBK","EQ","20-Apr-2020","         86.85","         88.00","         94.15","         86.10","         91.80","         92.00","         91.83","   23385044","          2147531165.85","      95794","    3002124","         12.84"
"CANBK","EQ","21-Apr-2020","         92.00","         89.80","         89.80","         83.90","         84.20","         84.20","         85.93","   13216464","          1135748827.05","      61219","    3627194","         27.44"
"CANBK","EQ","22-Apr-2020","         84.20","         84.15","         84.50","         79.55","         83.05","         82.90","         81.90","   20489220","          1678156990.35","      74398","    1946173","          9.50"
"CANBK","EQ","23-Apr-2020","         82.90","         83.90","         85.70","         82.75","         83.60","         83.65","         84.19","    8950970","           753540030.35","      39676","    1195052","         13.35"
"CANBK","EQ","24-Apr-2020","         83.65","         82.55","         84.70","         81.05","         81.95","         81.35","         82.61","    7662626","           633032387.25","      43000","    1851876","         24.17"
"CANBK","EQ","27-Apr-2020","         81.35","         82.50","         83.45","         80.50","         81.45","         81.45","         81.98","    6953759","           570080538.95","      43354","    1061289","         15.26"
"CANBK","EQ","28-Apr-2020","         81.45","         82.70","         86.00","         81.15","         85.70","         83.95","         82.52","   11708692","           966177073.10","      40362","    2289748","         19.56"
